model,test_mae,test_rmse,test_r2,mae_abstand_zum_bestmodell
Gradient Boosting,3.647963568388045,5.107312367974164,0.44982767390376066,0.0
Wochentags-Baseline,4.840115218344477,6.7474258029983565,0.03973713215456143,1.1921516499564317
Monats-Baseline,5.06143995856571,6.978250619227148,-0.02708651191505629,1.4134763901776655
Mittelwert-Baseline,5.074246317836219,7.00199014169768,-0.034086552044998664,1.4262827494481742
